name,hair,feathers,eggs,milk,airborne,acquatic,predator,toothed,backbone,breathes,venomous,fins,no of legs,tail,domestic,catsize,target
fruitbat,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,small,mammal
giraffe,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,big,mammal
girl,1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,big,mammal
gnat,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,small,insect
goat,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,big,mammal
gorilla,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,big,mammal
gull,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,small,bird
haddock,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,small,fish
hamster,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,small,mammal
hare,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,small,mammal
hawk,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,small,bird
herring,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,small,fish
honeybee,1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,small,insect
housefly,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,small,insect
kiwi,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,small,bird
ladybird,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,small,insect
lark,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,small,bird
leopard,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,big,mammal
lion,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,big,mammal
lobster,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,small,mollusc
lynx,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,big,mammal
mink,1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,big,mammal
mole,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,small,mammal
mongoose,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,big,mammal
moth,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,small,insect
newt,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,small,amphibian
octopus,0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,big,mollusc
opossum,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,small,mammal
oryx,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,big,mammal
ostrich,0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,big,bird
parakeet,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,small,bird
penguin,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,big,bird
pheasant,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,small,bird
pike,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,big,fish
piranha,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,small,fish
pitviper,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,small,reptile
platypus,1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,big,mammal
polecat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,big,mammal
pony,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,big,mammal
porpoise,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,big,mammal
puma,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,big,mammal
pussycat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,big,mammal
raccoon,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,big,mammal
reindeer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,big,mammal
rhea,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,big,bird
scorpion,0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,small,mollusc
seahorse,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,small,fish
seal,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,big,mammal
sealion,1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,big,mammal
seasnake,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,small,reptile
seawasp,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,small,mollusc
skimmer,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,small,bird
skua,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,small,bird
slowworm,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,small,reptile
slug,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,small,mollusc
sole,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,small,fish
sparrow,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,small,bird
squirrel,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,small,mammal
starfish,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,small,mollusc
stingray,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,big,fish
swan,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,big,bird
termite,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,small,insect
toad,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,small,amphibian
tortoise,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,big,reptile
tuatara,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,small,reptile
tuna,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,big,fish
vampire,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,small,mammal
vole,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,small,mammal
vulture,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,big,bird
wallaby,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,big,mammal
wasp,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,small,insect
wolf,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,big,mammal
worm,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,small,mollusc
wren,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,small,bird
